stock_id,symbol,category_id
167,HANA,7
589,LHHOTEL,17
590,LHK,17
592,LHSC,17
810,THANA,7
820,TLHPF,17
67,ASW,17
68,ATP30,2
71,AWC,2
72,AYUD,2
73,BA,2
74,BAFS,2
75,BAM,6
76,BANPU,1
78,BBGI,2
79,BBIK,2
80,BBL,2
85,BEC,2
87,BGC,2
90,BIS,2
91,BIZ,2
93,BLA,2
94,BLAND,2
95,BPP,2
199,KCE,7
200,KGI,6
204,KTC,6
208,LHFG,6
15,BJC,2
20,CPN,17
22,DELTA,7
31,AAV,5
202,KSL,6
205,KUMWEL,6
206,L&E,17
207,LANNA,17
209,LIT,7
29,A,2
30,AAI,7
32,ABM,2
33,ACE,2
34,ACG,2
35,ADB,2
36,ADD,2
53,ANAN,17
55,APCO,17
56,APCS,17
57,APURE,17
60,ASAP,17
69,AUCT,15
70,AURA,15
96,BRI,15
97,BRR,15
98,BTG,2
100,BWG,2
101,BYD,2
103,CCET,7
104,CGD,7
105,CH,7
106,CHAYO,7
107,CHEWA,7
109,CHO,7
110,CHOW,7
111,CIG,7
112,CIMBT,7
113,CIVIL,7
114,CK,7
115,CKP,1
116,CM,7
117,CMAN,7
118,CMO,7
119,CNT,7
120,COM7,2
123,CPI,7
125,CPW,7
127,CWT,7
128,DCC,7
129,DDD,7
131,DEMCO,7
132,DIF,17
133,DMT,7
134,DOD,7
135,DRT,7
138,EGCO,1
140,EP,1
141,EPG,1
142,ERW,1
143,ETC,1
144,ETE,1
1,GULF,1
3,CPALL,2
6,BDMS,3
7,ADVANC,4
2,AOT,5
201,KKP,6
12,BEM,5
13,BGRIM,1
14,BH,3
16,BTS,5
17,CBG,15
19,CPF,15
21,CRC,2
23,EA,1
25,INTUCH,4
26,KBANK,6
27,KTB,6
28,PTT,1
159,GFPT,15
166,GUNKUL,1
168,HARN,3
169,HENG,3
171,HTC,3
172,HUMAN,3
173,ICHI,15
174,IFS,17
175,IHL,6
176,ILINK,6
177,ILM,6
178,INET,7
179,IP,6
180,IRC,6
38,AEONTS,6
39,AGE,2
40,AH,2
41,AIE,7
42,AIT,7
43,AJ,2
44,AKP,2
45,AKR,2
77,BAY,6
46,ALLA,2
47,ALT,2
48,AMA,2
81,BCH,3
82,BCP,1
83,BCPG,1
49,AMANAH,6
50,AMARIN,2
51,AMATA,2
52,AMATAV,2
58,AQUA,2
59,AS,2
61,ASEFA,2
62,ASIA,2
63,ASIAN,15
64,ASIMAR,2
65,ASK,6
66,ASP,2
145,FANCY,1
146,FLOYD,1
147,FN,1
148,FNS,1
108,CHG,3
149,FORTH,1
150,FPI,1
151,FPT,1
152,FSMART,1
153,FTE,1
154,FTI,1
155,FVC,1
156,GABLE,3
157,GBX,3
158,GC,3
160,GGC,3
163,GRAMMY,3
164,GRAND,3
181,IRPC,1
182,IT,7
183,ITC,7
184,ITD,7
185,ITEL,7
186,IVL,6
187,J,6
189,JCK,6
190,JDF,17
137,EASTW,1
191,JMART,2
139,EKH,3
192,JMT,6
193,JR,6
194,JSP,6
195,JTS,6
196,K,6
197,KAMART,6
161,GLOBAL,2
162,GPSC,1
210,LOXLEY,17
211,LPH,17
212,LPN,17
170,HMPRO,2
213,M,17
214,MAJOR,17
215,MALEE,17
216,MATCH,17
217,MBK,17
218,MC,17
219,MCOT,17
220,MCS,17
221,MEGA,17
222,MINT,15
223,MK,17
224,MOONG,17
225,MORE,17
188,JAS,4
226,MSC,17
227,MTC,6
228,NATION,2
229,NC,2
230,NCL,2
231,NER,2
232,NETBAY,6
233,NEX,2
234,NNCL,2
237,NSL,2
238,NTV,2
239,NYT,5
240,ONEE,2
241,ORI,17
243,PCSGH,2
244,PDJ,2
245,PF,17
246,PG,2
247,PHOL,2
248,PLANB,2
242,OSP,15
249,PLAT,2
305,SISB,6
306,SITHAI,7
307,SK,6
308,SKR,6
309,SKY,6
310,SMIT,7
311,SMPC,6
312,SNC,6
314,SOLAR,6
315,SONIC,6
316,SPALI,17
317,SPC,6
318,SPCG,6
319,SPI,6
320,SPRC,1
321,SR,6
322,SRICHA,6
323,STA,2
324,STGT,6
325,STI,6
326,SUN,6
327,SUPER,1
328,SUSCO,17
269,PTTEP,1
270,PTTGC,1
292,SCB,6
235,NOBLE,17
236,NRF,15
250,PLE,2
251,PM,2
252,PORT,5
253,PPM,2
254,PPP,2
255,PR9,3
313,SNNP,15
256,PRAPAT,17
257,PREB,2
258,PRG,2
259,PRIME,2
260,PRINC,17
261,PRM,2
262,PROEN,2
263,PSH,17
264,PSL,5
265,PT,2
266,PTG,2
267,PTL,2
271,QH,17
272,QTC,5
273,RATCH,1
274,RBF,17
275,RCL,5
276,RJH,3
277,RML,17
278,ROJNA,5
279,RS,2
280,RSP,2
281,S,6
282,S11,6
283,SABINA,6
284,SAK,6
285,SAM,6
286,SAMART,6
287,SAMTEL,6
288,SAPPE,15
289,SAWAD,6
290,SC,17
291,SCC,17
293,SCCC,17
294,SCGP,2
295,SCN,17
296,SEAFCO,1
297,SELIC,6
298,SENA,17
361,TRUE,4
299,SGC,6
300,SGP,6
365,TTB,6
301,SHR,6
302,SINGER,2
369,TU,15
303,SIRI,17
304,SIS,6
329,SVI,7
330,SVOA,6
382,VIBHA,3
331,SYMC,7
332,SYNEX,6
333,SYNTEC,6
334,TACC,6
335,TAE,6
336,TASCO,17
337,TC,6
338,TEAM,1
339,TFG,15
340,TFI,6
341,TFM,6
342,TFMAMA,6
343,TGE,6
344,THANI,6
345,THCOM,6
346,THG,6
347,TIDLOR,6
348,TIPCO,6
349,TISCO,6
350,TK,6
351,TKN,6
352,TKS,6
353,TOA,6
354,TOG,6
355,TOP,1
356,TPBI,6
357,TPCH,6
358,TPIPP,6
359,TPIPL,6
360,TRC,6
362,TSC,17
363,TSR,6
364,TSTE,6
366,TTCL,6
367,TTA,5
368,TTW,6
370,TVH,6
371,TVO,6
372,TWPC,6
373,UBE,1
374,UBIS,1
375,UMI,1
376,UNIQ,1
377,UP,1
378,UV,1
379,UVAN,1
380,VCOM,1
381,VGI,2
383,VNG,1
384,VRANDA,1
432,BJCHI,2
385,WAVE,7
386,WGE,7
387,WHA,7
388,WHAUP,15
389,WIN,7
390,WINMED,3
391,WORK,2
392,WPH,7
393,XPG,7
394,ZEN,15
396,3BBIF,17
397,A5,2
398,AF,17
399,AFC,2
400,AHC,2
401,AI,7
402,AIMCG,7
395,2S,13
423,BAREIT,17
427,BEAUTY,1
434,BKGI,6
447,BTSGIF,5
453,CCP,2
468,CPANEL,2
469,CPAXT,2
470,CPH,2
471,CPL,2
472,CPNCG,2
473,CPNREIT,2
474,CPR,2
475,CPT,2
476,CPTREIT,2
494,DREIT,17
403,AIMIRT,7
404,AIRA,7
405,AJA,2
406,AKS,2
407,ALLY,2
408,ALPHAX,2
409,ALUCON,2
410,AMARC,2
411,AMATAR,2
412,AMC,2
413,AMR,2
414,ANI,2
415,APO,17
416,APP,17
417,ARIN,2
418,ARIP,2
419,ARROW,2
420,ASN,2
421,AXTRART,2
422,B52,2
424,BC,2
425,BCT,2
426,BE8,2
428,BEYOND,2
429,BGT,2
430,BIG,2
431,BIOTEC,2
433,BKD,2
435,BKIH,2
436,BLC,2
437,BLESS,2
438,BM,2
439,BOFFICE,2
440,BOL,2
441,BPS,2
442,BR,15
443,BROCK,15
444,BRRGIF,15
445,BTC,2
446,BTNC,2
448,BTW,2
449,BUI,2
450,BVG,2
451,B-WORK,2
452,CAZ,7
454,CEN,7
455,CENTEL,7
456,CEYE,7
457,CFARM,15
458,CFRESH,7
459,CGH,7
460,CHAO,7
461,CHARAN,7
462,CHASE,7
463,CHIC,7
464,CHOTI,7
465,CI,7
466,CITY,7
477,CRANE,7
478,CRD,7
499,EASON,1
502,EGATIF,1
513,FTREIT,17
514,FUTURERT,15
515,GAHREIT,17
520,GLAND,17
524,GROREIT,17
527,GVREIT,17
529,HEALTH,1
545,INETREIT,17
479,CREDIT,6
480,CSC,17
481,CSP,7
482,CSR,7
576,KPNREIT,17
577,KTBSTMR,6
483,CSS,7
484,CTARAF,17
485,CTW,7
486,CV,7
487,D,7
591,LHRREIT,17
488,DCON,7
489,DEXON,7
490,DHOUSE,7
491,DIMET,7
492,DITTO,7
493,DPAINT,7
495,DTCENT,7
496,DTCI,7
497,DUSIT,7
498,DV8,7
500,ECF,17
501,EFORL,1
503,EMC,1
504,ESTAR,17
607,MEDEZE,3
505,ETL,1
506,EURO,1
507,EVER,1
508,F&D,1
509,FE,1
510,FM,1
511,FMT,1
512,FSX,1
516,GEL,3
517,GENCO,3
518,GFC,3
519,GJS,3
521,GLORY,3
522,GPI,3
523,GREEN,3
525,GTB,3
526,GTV,3
528,GYT,3
530,HFT,3
531,HL,3
532,HPF,17
533,HPT,3
534,HTECH,7
535,HYDRO,3
536,HYDROGEN,3
537,I2,6
538,ICC,6
539,ICN,7
540,IIG,7
541,III,5
643,NCP,2
542,IMH,6
543,IMPACT,6
544,IND,6
546,INGRS,2
547,INOX,6
548,INSET,7
549,INSURE,6
550,IROYAL,6
551,ISSARA,6
671,PEACE,1
552,ITNS,7
553,ITTHI,7
554,IVF,17
555,JAK,6
556,JCT,6
557,JPARK,6
558,JUBILE,6
559,KASET,6
560,KBS,6
561,KBSPIF,17
562,KC,6
563,KCAR,6
564,KCC,6
565,KCG,6
566,KCM,6
567,KDH,6
568,KGEN,6
569,KIAT,6
570,KISS,6
571,KJL,6
572,KK,6
573,KKC,6
574,KLINIQ,6
575,KOOL,6
578,KTIS,6
579,KTMS,6
580,KUN,6
581,KWC,6
582,KWI,6
583,KWM,6
584,KYE,6
585,LALIN,17
586,LDC,17
587,LEE,17
588,LEO,17
594,LRH,17
595,LST,17
596,LTS,17
597,LUXF,17
598,MAGURO,17
599,MANRIN,17
600,MASTER,17
