date,open,high,low,close,adjusted_close,volume,warning,symbol
2025-02-03,9400,9400,9225,9350,9011.3255,90439906,,BBCA.JK
2025-02-04,9350,9400,9175,9175,8842.6643,94607695,,BBCA.JK
2025-02-05,9100,9175,9100,9125,8794.4754,98229906,,BBCA.JK
2025-02-06,9075,9100,8850,8950,8625.8142,171477797,,BBCA.JK
2025-02-07,8950,9350,8825,9350,9011.3255,131162203,,BBCA.JK
2025-02-10,9025,9250,9025,9150,8818.5698,76209102,,BBCA.JK
2025-02-11,9025,9100,9000,9075,8746.2865,71188305,,BBCA.JK
2025-02-12,8950,9150,8950,9150,8818.5698,121172602,,BBCA.JK
2025-02-13,9100,9150,9000,9000,8674.0031,90439695,,BBCA.JK
2025-02-14,9000,9075,8950,8975,8649.9087,116274492,,BBCA.JK
2025-02-17,8975,9325,8975,9325,8987.231,89096398,,BBCA.JK
2025-02-18,9325,9575,9250,9300,8963.1366,107318305,,BBCA.JK
2025-02-19,9225,9250,8950,8950,8625.8142,154438203,,BBCA.JK
2025-02-20,8975,9025,8950,9000,8674.0031,119260797,,BBCA.JK
2025-02-21,8950,9000,8925,9000,8674.0031,106054703,,BBCA.JK
2025-02-24,8925,8975,8875,8925,8601.7198,108530305,,BBCA.JK
2025-02-25,8900,9000,8825,8825,8505.3419,101592703,,BBCA.JK
2025-02-26,8800,8900,8725,8775,8457.153,117843508,,BBCA.JK
2025-02-27,8800,8800,8500,8525,8216.2085,199991594,,BBCA.JK
2025-02-28,8525,8675,8425,8425,8119.8307,293095000,,BBCA.JK
2025-03-03,8600,8900,8550,8800,8481.2475,192944297,,BBCA.JK
2025-03-04,8900,8925,8675,8850,8529.4364,125418492,,BBCA.JK
2025-03-05,8825,9175,8825,9000,8674.0031,155207906,,BBCA.JK
2025-03-06,9200,9200,8975,8975,8649.9087,96270094,,BBCA.JK
2025-03-07,9000,9000,8925,8925,8601.7198,82295297,,BBCA.JK
2025-03-10,8750,8975,8725,8925,8601.7198,97652094,,BBCA.JK
2025-03-11,8950,9050,8875,8925,8601.7198,109295602,,BBCA.JK
2025-03-12,9025,9125,8975,9125,8794.4754,87968898,,BBCA.JK
2025-03-13,9150,9175,8975,8975,8649.9087,83030703,,BBCA.JK
2025-03-14,8800,8925,8750,8750,8433.0586,111397797,,BBCA.JK
2025-03-17,8750,8775,8550,8600,8288.4919,151365703,,BBCA.JK
2025-03-18,8500,8550,8075,8300,7999.3584,417305656,,BBCA.JK
2025-03-19,8300,8400,8225,8325,8023.4529,214108188,,BBCA.JK
2025-03-20,8450,8475,8350,8375,8071.6418,152917297,,BBCA.JK
2025-03-21,8275,8275,7900,7900,7848.1194,377916406,,BBCA.JK
2025-03-24,7825,8100,7625,7950,7897.791,331836812,,BBCA.JK
2025-03-25,8075,8150,8000,8050,7997.1343,136341703,,BBCA.JK
2025-03-26,8300,8650,8275,8525,8469.0149,283104594,,BBCA.JK
2025-03-27,8425,8575,8375,8500,8444.1791,122943906,,BBCA.JK
2025-04-08,7400,8000,7275,7775,7723.9403,533073625,,BBCA.JK
2025-04-09,7700,7950,7675,7925,7872.9552,136753906,,BBCA.JK
2025-04-10,8500,8650,8175,8225,8170.9851,144148609,,BBCA.JK
2025-04-11,8200,8325,8050,8275,8220.6567,82612398,,BBCA.JK
2025-04-14,8250,8400,8250,8400,8344.8358,83319297,,BBCA.JK
2025-04-15,8575,8600,8450,8575,8518.6866,83432797,,BBCA.JK
2025-04-16,8500,8550,8425,8475,8419.3433,76886000,,BBCA.JK
2025-04-17,8450,8500,8350,8500,8444.1791,83540602,,BBCA.JK
2025-04-21,8500,8500,8300,8300,8245.4925,40683801,,BBCA.JK
2025-04-22,8325,8500,8325,8500,8444.1791,56537102,,BBCA.JK
2025-04-23,8550,8725,8550,8725,8667.7015,92329602,,BBCA.JK
2025-04-24,8850,8850,8475,8475,8419.3433,143675297,,BBCA.JK
2025-04-25,8650,8650,8575,8600,8543.5224,58297000,,BBCA.JK
2025-04-28,8750,8775,8650,8775,8717.3731,73235398,,BBCA.JK
2025-04-29,8800,8825,8700,8725,8667.7015,60315699,,BBCA.JK
2025-04-30,8800,8925,8675,8825,8767.0448,164597500,,BBCA.JK
2025-05-02,9000,9000,8850,8975,8916.0597,92219000,,BBCA.JK
2025-05-05,9000,9050,8975,8975,8916.0597,86385602,,BBCA.JK
2025-05-06,9050,9050,8975,9025,8965.7313,48860500,,BBCA.JK
2025-05-07,9075,9100,9000,9075,9015.403,77382000,,BBCA.JK
2025-05-08,9075,9200,8925,8975,8916.0597,99614492,,BBCA.JK
2025-05-09,9050,9050,8975,9000,8940.8955,47167500,,BBCA.JK
2025-05-14,9250,9300,9150,9275,9214.0896,149002891,,BBCA.JK
2025-05-15,9275,9400,9250,9275,9214.0896,101401297,,BBCA.JK
2025-05-16,9300,9325,9225,9300,9238.9254,63007500,,BBCA.JK
2025-05-19,9275,9500,9250,9500,9437.6119,111597203,,BBCA.JK
2025-05-20,9500,9675,9475,9475,9412.7761,160614797,,BBCA.JK
2025-05-21,9700,9725,9550,9700,9636.2985,169739203,,BBCA.JK
2025-05-22,9800,9800,9650,9650,9586.6269,103113000,,BBCA.JK
2025-05-23,9775,9775,9625,9675,9611.4627,61189699,,BBCA.JK
2025-05-26,9600,9650,9500,9625,9561.791,56625301,,BBCA.JK
2025-05-27,9550,9600,9450,9450,9387.9403,93212000,,BBCA.JK
2025-05-28,9450,9550,9400,9400,9338.2687,236950797,,BBCA.JK
2025-06-02,9025,9175,9025,9100,9040.2388,264428719,,BBCA.JK
2025-06-03,9050,9125,8950,9050,8990.5672,128318094,,BBCA.JK
2025-06-04,9100,9125,8950,8975,8916.0597,93357203,,BBCA.JK
2025-06-05,9000,9050,8900,8925,8866.3881,95529000,,BBCA.JK
2025-06-10,8975,9100,8950,9100,9040.2388,80406398,,BBCA.JK
2025-06-11,9100,9125,9050,9050,8990.5672,56632602,,BBCA.JK
2025-06-12,9000,9125,9000,9125,9065.0746,41337301,,BBCA.JK
2025-06-13,9100,9125,8975,9025,8965.7313,83318000,,BBCA.JK
2025-06-16,8925,9000,8900,8925,8866.3881,57825000,,BBCA.JK
2025-06-17,8975,9100,8975,9075,9015.403,54927898,,BBCA.JK
2025-06-18,8950,9025,8900,8900,8841.5522,86270203,,BBCA.JK
2025-06-19,8900,8925,8750,8775,8717.3731,78879508,,BBCA.JK
2025-06-20,8700,8875,8625,8700,8642.8657,445915125,,BBCA.JK
2025-06-23,8575,8700,8500,8625,8568.3582,87324492,,BBCA.JK
2025-06-24,8725,8850,8700,8775,8717.3731,110158898,,BBCA.JK
2025-06-25,8725,8775,8475,8600,8543.5224,117561000,,BBCA.JK
2025-06-26,8525,8650,8525,8650,8593.194,117281695,,BBCA.JK
2025-06-30,8575,8825,8550,8675,8618.0299,185441797,,BBCA.JK
2025-07-01,8750,8775,8600,8700,8642.8657,82390602,,BBCA.JK
2025-07-02,8575,8675,8575,8675,8618.0299,68545102,,BBCA.JK
2025-07-03,8700,8750,8600,8600,8543.5224,50370801,,BBCA.JK
2025-07-04,8650,8700,8550,8650,8593.194,43593301,,BBCA.JK
2025-07-07,8625,8650,8550,8625,8568.3582,49936898,,BBCA.JK
2025-07-08,8550,8600,8425,8500,8444.1791,215611016,,BBCA.JK
2025-07-09,8500,8550,8450,8500,8444.1791,94459297,,BBCA.JK
2025-07-10,8525,8650,8500,8600,8543.5224,111769398,,BBCA.JK
2025-07-11,8575,8675,8575,8625,8568.3582,135986500,,BBCA.JK
2025-07-14,8650,8675,8450,8525,8469.0149,125196000,,BBCA.JK
2025-07-15,8600,8600,8475,8550,8493.8507,77219297,,BBCA.JK
2025-07-16,8550,8600,8500,8525,8469.0149,97475297,,BBCA.JK
2025-07-17,8500,8550,8500,8525,8469.0149,86016398,,BBCA.JK
2025-07-18,8550,8575,8425,8425,8369.6716,80432203,,BBCA.JK
2025-07-21,8450,8500,8375,8450,8394.5075,95383508,,BBCA.JK
2025-07-22,8450,8475,8400,8400,8344.8358,77981695,,BBCA.JK
2025-07-23,8450,8500,8400,8425,8369.6716,70969508,,BBCA.JK
2025-07-24,8475,8550,8450,8500,8444.1791,138256797,,BBCA.JK
2025-07-25,8500,8525,8450,8450,8394.5075,58682801,,BBCA.JK
2025-07-28,8625,8625,8475,8500,8444.1791,99484305,,BBCA.JK
2025-07-29,8500,8500,8375,8400,8344.8358,104240305,,BBCA.JK
2025-07-30,8475,8475,8325,8375,8320.0,98098094,,BBCA.JK
2025-07-31,8350,8375,8250,8275,8220.6567,206006297,,BBCA.JK
2025-08-01,8400,8425,8300,8300,8245.4925,86196094,,BBCA.JK
2025-08-04,8325,8350,8275,8275,8220.6567,49054500,,BBCA.JK
2025-08-05,8350,8450,8325,8425,8369.6716,69475906,,BBCA.JK
2025-08-06,8425,8425,8300,8300,8245.4925,56325398,,BBCA.JK
2025-08-07,8325,8350,8300,8300,8245.4925,43621301,,BBCA.JK
2025-08-08,8325,8400,8300,8300,8245.4925,68378703,,BBCA.JK
2025-08-11,8500,8550,8425,8550,8493.8507,128561297,,BBCA.JK
2025-08-12,8625,8875,8575,8850,8791.8806,171015703,,BBCA.JK
2025-08-13,8975,8975,8725,8925,8866.3881,129083906,,BBCA.JK
2025-08-14,8925,8950,8750,8775,8717.3731,122930898,,BBCA.JK
2025-08-15,8825,8850,8700,8700,8642.8657,68754203,,BBCA.JK
2025-08-19,8600,8600,8450,8500,8444.1791,128591695,,BBCA.JK
2025-08-20,8375,8600,8350,8525,8469.0149,202260188,,BBCA.JK
2025-08-21,8550,8575,8500,8550,8493.8507,69470203,,BBCA.JK
2025-08-22,8575,8575,8450,8450,8394.5075,66394102,,BBCA.JK
2025-08-25,8525,8550,8475,8475,8419.3433,64052699,,BBCA.JK
2025-08-26,8450,8475,8250,8250,8195.8209,326794219,,BBCA.JK
2025-08-27,8250,8350,8200,8300,8245.4925,111915695,,BBCA.JK
2025-08-28,8350,8375,8275,8325,8270.3284,81281398,,BBCA.JK
2025-08-29,8250,8275,8075,8075,8021.9701,236499297,,BBCA.JK
2025-09-01,7650,8050,7600,8000,7947.4627,421127531,,BBCA.JK
2025-09-02,8000,8175,8000,8000,7947.4627,155531500,,BBCA.JK
2025-09-03,7900,8000,7900,7975,7922.6269,212372703,,BBCA.JK
