date,open,high,low,close,adjusted_close,volume,warning,Stock
2025-04-09,5750.0,5925.0,5700.0,5750.0,5396.4046,12763900.0,Data is limited by one year as you have free subscription,AADI
2025-04-09,5225.0,5375.0,5200.0,5275.0,5034.7838,683000.0,Data is limited by one year as you have free subscription,AALI
2025-04-09,16.0,16.0,16.0,16.0,16.0,285300.0,Data is limited by one year as you have free subscription,ABBA
2025-04-09,3400.0,3400.0,3400.0,3400.0,3400.0,0.0,Data is limited by one year as you have free subscription,ABDA
2025-04-09,2850.0,2900.0,2800.0,2830.0,2698.7909,2323900.0,Data is limited by one year as you have free subscription,ABMM
2025-04-09,450.0,476.0,446.0,462.0,431.6157,87885500.0,Data is limited by one year as you have free subscription,ACES
2025-04-09,53.0,54.0,52.0,53.0,53.0,1939400.0,Data is limited by one year as you have free subscription,ACRO
2025-04-09,64.0,64.0,64.0,64.0,64.0,2782100.0,Data is limited by one year as you have free subscription,ACST
2025-04-09,50.0,50.0,50.0,50.0,50.0,25300.0,Data is limited by one year as you have free subscription,ADCP
2025-04-09,9500.0,9875.0,9475.0,9500.0,9500.0,116500.0,Data is limited by one year as you have free subscription,ADES
2025-04-09,208.0,220.0,194.0,196.0,196.0,39578500.0,Data is limited by one year as you have free subscription,ADHI
2025-04-09,8875.0,9050.0,8875.0,8925.0,8248.5283,204900.0,Data is limited by one year as you have free subscription,ADMF
2025-04-09,103.0,108.0,101.0,103.0,103.0,26500.0,Data is limited by one year as you have free subscription,ADMG
2025-04-09,790.0,815.0,770.0,790.0,752.9629,32592200.0,Data is limited by one year as you have free subscription,ADMR
2025-04-09,1640.0,1695.0,1605.0,1650.0,1406.8195,86056100.0,Data is limited by one year as you have free subscription,ADRO
2025-04-09,28.0,29.0,26.0,27.0,27.0,1782900.0,Data is limited by one year as you have free subscription,AEGS
2025-04-09,264.0,268.0,264.0,264.0,264.0,5000.0,Data is limited by one year as you have free subscription,AGAR
2025-04-09,1140.0,1140.0,1100.0,1130.0,1120.3272,15600.0,Data is limited by one year as you have free subscription,AGII
2025-04-09,167.0,170.0,163.0,166.0,166.0,7992900.0,Data is limited by one year as you have free subscription,AGRO
2025-04-09,56.0,57.0,55.0,55.0,55.0,5081500.0,Data is limited by one year as you have free subscription,AGRS
2025-04-09,58.0,60.0,53.0,54.0,54.0,9635100.0,Data is limited by one year as you have free subscription,AHAP
2025-04-09,304.0,308.0,290.0,300.0,300.0,555000.0,Data is limited by one year as you have free subscription,AIMS
2025-04-09,101.0,103.0,99.0,102.0,102.0,1989900.0,Data is limited by one year as you have free subscription,AISA
2025-04-09,15.0,15.0,14.0,14.0,14.0,309200.0,Data is limited by one year as you have free subscription,AKKU
2025-04-09,580.0,620.0,555.0,620.0,611.4555,49500.0,Data is limited by one year as you have free subscription,AKPI
2025-04-09,970.0,990.0,890.0,900.0,832.2221,28171900.0,Data is limited by one year as you have free subscription,AKRA
2025-04-09,160.0,168.0,140.0,146.0,146.0,681100.0,Data is limited by one year as you have free subscription,AKSI
2025-04-09,496.0,498.0,496.0,498.0,497.496,228400.0,Data is limited by one year as you have free subscription,ALDO
2025-04-09,362.0,374.0,354.0,358.0,354.9019,11172100.0,Data is limited by one year as you have free subscription,ALII
2025-04-09,284.0,302.0,272.0,294.0,294.0,33800.0,Data is limited by one year as you have free subscription,ALKA
2025-04-09,74.0,74.0,74.0,74.0,74.0,0.0,Data is limited by one year as you have free subscription,ALMI
2025-04-09,13.0,14.0,13.0,14.0,14.0,56000.0,Data is limited by one year as you have free subscription,ALTO
2025-04-09,324.0,334.0,320.0,328.0,292.9198,40200.0,Data is limited by one year as you have free subscription,AMAG
2025-04-09,89.0,90.0,89.0,89.0,89.0,1126600.0,Data is limited by one year as you have free subscription,AMAN
2025-04-09,167.0,167.0,165.0,166.0,156.8775,680100.0,Data is limited by one year as you have free subscription,AMAR
2025-04-09,3280.0,3390.0,3000.0,3160.0,3089.7778,35000.0,Data is limited by one year as you have free subscription,AMFG
2025-04-09,129.0,133.0,129.0,133.0,126.35,4700.0,Data is limited by one year as you have free subscription,AMIN
2025-04-09,4600.0,4770.0,4500.0,4630.0,4630.0,17258300.0,Data is limited by one year as you have free subscription,AMMN
2025-04-09,33.0,36.0,33.0,33.0,33.0,2136500.0,Data is limited by one year as you have free subscription,AMMS
2025-04-09,490.0,530.0,490.0,505.0,466.9516,22600.0,Data is limited by one year as you have free subscription,AMOR
2025-04-09,2030.0,2140.0,2030.0,2070.0,2043.0505,40809900.0,Data is limited by one year as you have free subscription,AMRT
2025-04-09,10.0,10.0,9.0,9.0,9.0,568400.0,Data is limited by one year as you have free subscription,ANDI
2025-04-09,1615.0,1625.0,1580.0,1595.0,1595.0,6280400.0,Data is limited by one year as you have free subscription,ANJT
2025-04-09,1415.0,1580.0,1415.0,1475.0,1475.0,160024000.0,Data is limited by one year as you have free subscription,ANTM
2025-04-09,80.0,90.0,80.0,85.0,85.0,1277500.0,Data is limited by one year as you have free subscription,APEX
2025-04-09,1050.0,1100.0,1025.0,1100.0,1100.0,21014200.0,Data is limited by one year as you have free subscription,APIC
2025-04-09,169.0,169.0,168.0,168.0,168.0,4500.0,Data is limited by one year as you have free subscription,APII
