symbol,company_name,industry_group,sector,market_cap,beta,current_price,dividend_yield
ACAP,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),ธุรกิจการเงิน,N/A,134115688.0,,0.33,
ALT,บริษัท เอแอลที เทเลคอม จำกัด (มหาชน),Communication Equipment,Technology,1212418816.0,0.066,1.08,
ALUCON,บริษัท อลูคอน จำกัด (มหาชน),Aluminum,Basic Materials,9503996928.0,0.05,220.0,7.27
AXTRART,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า แอ็กซ์ตร้า ฟิวเจอร์ ซิตี้,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,30618404864.0,,13.1,
BKD,บริษัท บางกอก เดค-คอน จำกัด (มหาชน),อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,1323738368.0,,1.23,
BLISS,บริษัท บลิส อินเทลลิเจนซ์ จำกัด (มหาชน),เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,996244800.0,,0.03091,
CHO,บริษัท ช ทวี จำกัด (มหาชน),Farm & Heavy Construction Machinery,Industrials,38311740.0,-0.556,0.05,
CPNCG,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ CPN คอมเมอร์เชียล โกรท,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,2645161728.0,,6.2,
CPT,บริษัท ซีพีที ไดร์ แอนด์ เพาเวอร์ จำกัด (มหาชน),Electrical Equipment & Parts,Industrials,900000000.0,,1.0,2.5
GSTEEL,บริษัท จี สตีล จำกัด (มหาชน),สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,2603592192.0,,0.09,
HPF,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าเหมราชอินดัสเตรียล,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,2538000128.0,,5.4,
GCAP,บริษัท จี แคปปิตอล จำกัด (มหาชน),Credit Services,Financial Services,146312288.0,0.732,0.27,
ISSARA,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์อิสสระ,,,745000000.0,,7.45,
IDG,บริษัท อินดิจี จำกัด (มหาชน),Information Technology Services,Technology,165000000.0,,1.65,4.25
KKC,บริษัท กุลธรเคอร์บี้ จำกัด (มหาชน),Specialty Industrial Machinery,Industrials,60000000.0,-0.476,0.04,
KPNREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์เคพีเอ็น,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,358200000.0,,1.99,
JAS,บริษัท จัสมิน อินเตอร์เนชั่นแนล จำกัด (มหาชน),Telecom Services,Communication Services,10365092864.0,0.028,1.25,
LHHOTEL,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ แอล เอช โฮเทล,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,14370201600.0,,13.7,
LHRREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า แลนด์ แอนด์ เฮ้าส์ เรซิเดนซ์,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,1405800064.0,,4.26,
LUXF,กองทุนรวมอสังหาริมทรัพย์ลักซ์ชัวรี่,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,1729200000.0,,8.8,
MGI,บริษัท มิสแกรนด์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),สินค้าอุปโภคบริโภค,N/A,1218000000.0,,5.8,
