symbol,company_name_th,sector,roe,pe_ratio,de_ratio
NTF,บริษัท เอ็นทีเอฟ อินเตอร์กรุ๊ป (ประเทศไทย) จำกัด (มหาชน),Consumer Defensive,85.619,,41.071
ITD,บริษัท อิตาเลียนไทย ดีเวล๊อปเมนต์ จำกัด (มหาชน),Industrials,84.391,0.19827586,436.738
NETBAY,บริษัท เน็ตเบย์ จำกัด (มหาชน),Technology,58.331,14.927537,5.323
MRDIYT,บริษัท มิสเตอร์. ดี.ไอ.วาย. โฮลดิ้ง (ประเทศไทย) จำกัด (มหาชน),Consumer Cyclical,50.049,25.13889,160.548
ADVANC,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),Communication Services,46.813,23.215393,179.229
TACC,บริษัท ที.เอ.ซี. คอนซูเมอร์ จำกัด (มหาชน),Consumer Defensive,42.463002,11.632652,5.271
PIS,บริษัท โปร อินไซด์ จำกัด (มหาชน),Technology,41.43,22.25,122.082
COM7,บริษัท คอมเซเว่น จำกัด (มหาชน),Consumer Cyclical,41.257998,13.74269,109.545
FSMART,บริษัท ฟอร์ท สมาร์ท เซอร์วิส จำกัด (มหาชน),Communication Services,40.954,9.133333,56.619
TFG,บริษัท ไทยฟู้ดส์ กรุ๊ป จำกัด (มหาชน),Consumer Defensive,40.702,5.3305783,99.804
APO,บริษัท เอเชียนน้ำมันปาล์ม จำกัด (มหาชน),Consumer Defensive,39.956,3.6862745,12.469
PM,บริษัท พรีเมียร์ มาร์เก็ตติ้ง จำกัด (มหาชน),Consumer Defensive,38.728002000000004,10.701755,25.446
AUCT,บริษัท สหการประมูล จำกัด (มหาชน),Consumer Cyclical,37.680998,14.324325,199.831
SAV,บริษัท สามารถ เอวิเอชั่น โซลูชั่นส์ จำกัด (มหาชน),Industrials,37.612,15.301205,0.038
TMAN,บริษัท ที.แมน ฟาร์มาซูติคอล จำกัด (มหาชน),Healthcare,36.512001999999995,11.607142,49.608
TITLE,บริษัท ร่มโพธิ์ พร็อพเพอร์ตี้ จำกัด (มหาชน),Real Estate,36.485,17.826086,145.128
WGE,บริษัท เวล เกรด เอ็นจิเนียริ่ง จำกัด (มหาชน),Industrials,35.299,3.5652173,33.951
GULF,บริษัท กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน),Utilities,35.041,33.91813,99.499
UVAN,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน),Consumer Defensive,34.798,7.8609624,
NSL,บริษัท เอ็นเอสแอล ฟู้ดส์ จำกัด (มหาชน),Consumer Defensive,31.702,11.724137,15.783
PT,บริษัท พรีเมียร์ เทคโนโลยี จำกัด (มหาชน),Technology,31.601998,10.59829,6.455
BIZ,บริษัท บิสซิเนสอะไลเม้นท์ จำกัด (มหาชน),Healthcare,30.848,9.629629,34.739
GC,บริษัท โกลบอล คอนเน็คชั่นส์ จำกัด (มหาชน),Basic Materials,30.091,9.911112,124.764
88TH,บริษัท 88(ไทยแลนด์) จำกัด (มหาชน),Consumer Defensive,30.055,12.142858,2.667
IROYAL,บริษัท อินเตอร์รอแยล เอ็นจิเนียริ่ง จำกัด (มหาชน),Industrials,29.975,20.714287,0.262
APP,บริษัท แอพพลิแคด จำกัด (มหาชน),Technology,28.956,6.536586,4.137
MGC,บริษัท มิลเลนเนียม กรุ๊ป คอร์ปอเรชั่น (เอเชีย) จำกัด (มหาชน),Consumer Cyclical,28.837000000000003,3.878261,160.821
XO,บริษัท เอ็กโซติค ฟู้ด จำกัด (มหาชน),Consumer Defensive,28.809,12.2881365,2.291
AMARC,บริษัท ศูนย์ห้องปฏิบัติการและวิจัยทางการแพทย์และการเกษตรแห่งเอเซีย จำกัด (มหาชน),Technology,28.24,9.5,3.493
DELTA,บริษัทเดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),Industrials,28.091,144.44444,1.515
ADVICE,บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน),Technology,27.629998,13.255814,37.835
MEB,บริษัท เมพ คอร์ปอเรชั่น จำกัด (มหาชน),Technology,27.339999999999996,10.592592,0.683
BOL,บริษัท บิซิเนส ออนไลน์ จำกัด (มหาชน),Industrials,27.217999999999996,14.428573,5.474
MOSHI,บริษัท โมชิ โมชิ รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),Consumer Cyclical,26.533002,18.2266,62.538
SISB,บริษัท เอสไอเอสบี จำกัด (มหาชน),Consumer Defensive,26.247,12.058824,14.468
TFM,บริษัท ไทยยูเนี่ยน ฟีดมิลล์ จำกัด (มหาชน),Consumer Defensive,26.145000000000003,8.561644,8.705
BH,บริษัท โรงพยาบาลบำรุงราษฎร์ จำกัด (มหาชน),Healthcare,25.652,22.266975,0.342
SAUCE,บริษัท ไทยเทพรส จำกัด (มหาชน),Consumer Defensive,25.4,19.014084,
MCS,บริษัท เอ็ม.ซี.เอส.สตีล จำกัด (มหาชน),Basic Materials,24.912001,4.751244,6.835
HMPRO,บริษัท โฮม โปรดักส์ เซ็นเตอร์ จำกัด (มหาชน),Consumer Cyclical,24.757999,15.543478,98.037
VCOM,บริษัท วินท์คอม เทคโนโลยี จำกัด (มหาชน),Technology,24.619,9.105264,14.724
FORTH,บริษัท ฟอร์ท คอร์ปอเรชั่น จำกัด (มหาชน),Industrials,24.339001,33.541668,155.394
