???????????????????????????????????????????????????,,,,,,?????? ? ?????? 23 ?.?. 2569,,,
??????????,??????,????,???????????????,??????????,???????,????????????,????????,??????,????????
2S,?????? 2 ??? ????? ????? (?????),SET,????????????????,????? ??? ?????????????,8/5 ??????? 14 ??????????? ???????????? ?????,90110,0-7480-0111,0-7480-1286,www.ss.co.th
3BBIF,?????????????????????????????????????????????? ???????,SET,?????????,??????????????????????????????,?????? 175 ?????????????????????? ???? 7 ???? 21 ??? ???? 26 ?????????? ?????????????? ??????? ?????????????,10120,0-2674-6488,0-2679-5996,https://www.3bb-if.com
88TH,?????? 88(????????) ????? (?????),mai,??????????????????,-,?????? 48 ????/??? ?????????????? 8 ????/???? ???????? ?????/??? ???????? ?????????????,10230,0-2326-8888,-,www.88thailand.co.th
A,?????? ?????? ???????????? ????? (?????),SET,??????????????????????????,????????????????????,999 ?????????????????? ???????????? ????????????? ?????????????,10310,"0-2798-9999, 1797",0-2798-9990,http://www.areeya.co.th
A5,?????? ?????? ???? ????? ????? (?????),SET,??????????????????????????,????????????????????,"?????? 199 ????? ??? ??????? ??????? 12 ?????????? 1210, 1211, 1212 ???????????????? ????????? ?????????? ?????????????",10900,0-2026-3512,0-2026-3513,www.assetfive.co.th
AAI,?????? ???????? ????????? ????????????????? ????? (?????),SET,???????????????????????,???????????????????,55/2 ??????? 2 ????????? 2 ?????????????? ??????????????????? ?????????,74000,0-3484-5575-87,0-3484-5546,www.asianalliance.co.th
AAV,?????? ?????? ?????????? ????? (?????),SET,??????,??????????????????,222 ???????????????????????????????????? 3 ???? 3200 ?.????????????? ??????????? ??????????? ?????????????,10210,0-2562-5700,0-2562-5705,http://www.aavplc.com
ABM,?????? ?????? ??????? ????? (?????),mai,????????,-,?????? 99/9 ???????????? 2 ????????? ?????????????? ?????????????,10150,0-2415-0054,0-2415-1102,www.asiabiomass.com
ACAP,?????? ?????? ???????? ????? ????? (?????),mai,?????????????,-,?????? 486 ????? E 2 ??????? 2 ?????????? ??????????? ?????????? ?????????????,10250,0-2666-9488,0-2666-9488 Press 9,www.acap.co.th
ACC,?????? ???????? ?????????? ???????????? ????? (?????),SET,????????,?????????????????????,944 ?????????????? ?????? ?????????? ???? 16 ????????? 4 ??????????? ?????????? ?????????????,10330,0-2219-1642,0-2219-1662,http://acc-plc.com
ACE,?????? ????????? ???? ???????????? ????? (?????),SET,????????,?????????????????????,?????? 140/6 ???????????? ???????? ???? 7 ??????? ????????????? ????????? ?????????????,10500,0-2233-2559,-,http://www.ace-energy.co.th
ACG,?????? ????????? ??????? ????? (?????),SET,????????????????,???????,?????? 1111 ???? 1 ???????????? ???????????? ?????????? ???????,40000,0-4330-6444,0-4330-6448,www.autocorpgroup.com
ADB,?????? ???????? ???? ????? (?????),mai,????????????????,-,252 ???? 4 ??????????? ?????????? ????????????????????? ???????????,10280,0-2709-4040-9,0-2323-9195,http://www.adb.co.th
ADD,?????? ?????? ??? ????? (?????),mai,??????,-,?????? 1 ????????????????????? ???? 41 ?????????? 4106-7 ?????????? ??????????? ??????? ?????????????,10120,0-2835-3957-8,0-2835-3959,https://www.addtechhub.com
ADVANC,?????? ???????? ??????? ???????? ????? (?????),SET,?????????,??????????????????????????????,"???????????? ???????? 1, 414 ??????????? ???????????? ???????? ?????????????",10400,0-2029-5000,0-2029-5165,http://investor.ais.co.th
ADVICE,?????? ??????? ???? ???????? ????? (?????),SET,??????,???????,?????? 74/1 ??????? 1 ?????????? ????????????? ???????,11120,0-2908-8888,-,www.advicepcl.co.th
AE,?????? ????? ???????????? ????? ????????? ????? (?????),SET,????????,?????????????????????,?????? 2106 ??????????? 4 ???? 4 ??????????? ?????????????? ?????????? ?????????????,10260,0-2741-5700,0-2741-5724,www.aeu.co.th
AEONTS,?????? ????? ??????????? (????????) ????? (?????),SET,?????????????,????????????????????,"???????????? ???????? ???? 27, 388 ??????????? ??????????? ?????????? ?????????????",10110,"0-2665-0123,0-2302-4400",-,www.aeon.co.th
AF,?????? ????? ????????? ????? (?????),mai,?????????????,-,?????? 188 ?????????? ???????? ???? 12A ???????? 6-10 ???????? ????????????? ?????????? ?????????????,10400,0-2657-6222,"0-2657-6244,0-2657-6245",http://www.airafactoring.co.th
AFC,?????? ????????????? ????? (?????),SET,??????????????????,??????,"??????????????????????? ???? 27, 33/133-136 ?????????? ????????????? ????????? ?????????????",10500,0-2632-7071-85,0-2236-1982,www.asiafiber.com
AGE,?????? ?????? ???? ???????? ????? (?????),SET,????????,?????????????????????,?????? 99/9 ???????????? 2 ????????? ?????????????? ?????????????,10150,0-2894-0088,"0-2894-0044, 0-2894-4267",www.age.co.th
AH,?????? ?????? ????? ????? (?????),SET,????????????????,???????,99 ???? 1 ??????????????????? ??????????? ????????????? ???????????????,13160,0-3535-0880,0-3535-0881,www.aapico.com
AHC,?????? ?????????????? ????? (?????),SET,??????,????????,68/3 ???? 2 ????????????? ??????????? ?????????? ??????,20000,"0-3827-3840-7, 0-3879-2500, 0-3879-2555",0-3827-3848,www.aikchol.com
AI,?????? ??????? ???????????? ????? (?????),SET,????????,?????????????????????,254 ?????????? ???????????? ??????????? ?????????????,10230,"0-2517-1451, 0-2517-1026, 0-2517-9447-8",0-2517-1465,http://www.asianinsulators.com
AIE,?????? ???? ?????????? ????? (?????),SET,????????,?????????????????????,?????? 55/2 ??????? 8 ??????????? 1 ??????????????? ??????????????? ?????????,74110,0-3487-7485-8,0-3487-7491-2,www.aienergy.co.th
AIMCG,?????????????????????????????????????????????????????????????????? ???????? ????????????? ????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,?????? 93/1 ???????????? ????? ??????? ???? 8 ???? 803 ???????? ??????????? ?????????? ?????????????,10330,0-2254-0441-2,-,www.aimcgreit.com
AIMIRT,?????????????????????????????????????????????????????????????????? ???????? ???????????? ????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,?????? 93/1 ???????????? ????? ??????????? 8 ???? 803 ???????? ??????????? ?????????? ?????????????,10330,0-2254-0441-2,-,www.aimirt.com
AIRA,?????? ????? ???????? ????? (?????),mai,?????????????,-,319 ??????????????????? ??????? 12 ???????? ??????? ?????????????,10330,0-2080-2999,0-2160-5395,https://www.airacapital.co.th
AIT,?????? ??????????????????????????????? ????? (?????),SET,?????????,??????????????????????????????,37/2 ??????????? ????????????? ??????????? ?????????????,10320,0-2275-9400,"0-2275-9100, 0-2275-9200",www.ait.co.th
AJ,?????? ??.??.?????? ????? (?????),SET,????????????????,??????????,95 ?????????? ????????? ?????????????? ?????????????,10150,"0-2415-0035, 0-2415-6059",0-2415-6068,www.ajplast.co.th
AJA,?????? ???? ???????? ????????? ????? (?????),SET,??????????????????,????????????????????????????,?????? 427/2 ???????????? 2 ????????? ?????????????? ?????????????,10150,0-2451-6888,0-2451-5490,www.ajthai.com
AKP,?????? ??????????? ????? (?????),mai,??????,-,792 ???? 2 ??? 1 ??/1 ??????????????????? ??? 1 ??????????? ????????????? ????????????????????? ???????????,10280,0-2323-0714-21,0-2323-0724,www.akkhie.com
AKR,?????? ?????????????? ????? (?????),SET,????????????????,?????????????????????????????,"??????? ???? ???????? ???? 28, 9/291 ??????????? ??????????? ?????????? ?????????????",10250,0-2719-8777,02-719-8760-2,http://www.ekarat.co.th
AKS,?????? ??????? ???????????? ????? (?????),SET,??????????????????????????,????????????????????,?????? 102 ????????????????? ??????????? ??????????? ?????????????,10310,0-2033-5555,0-2033-5566,www.akscorporation.co.th
ALLA,?????? ?????? ????? (?????),SET,????????????????,?????????????????????????????,"?????? 933, 935, 937, 939 ?????????? 46 ?????????? ??????????? ?????????? ?????????????",10250,"0-2322-0777, 0-2721-5699",0-2322-1891-2,www.alla.co.th
